Timestamp_Hours,Asset_Tank0_RawProduct_Level_Tons,Asset_Tank1_CrudeIso_Level_Tons,Asset_Tank2_Monomer_Em_Level_Tons,Asset_Tank3_Monomer_Ert_Level_Tons,Asset_Tank4_Hydro_Buffer_Level_Tons,Asset_Tank5_Ert_Buffer_Level_Tons,Asset_Tank7_Em_Return_Level_Tons,Asset_Tank6_Purified_Level_Tons,Process_Reactor_Status,Process_Reactor_CumProduced_Tons,Process_Monomer_Dist_Status,Process_Monomer_Dist_CumProduced_Tons,Process_Hydrogenation_Status,Process_Hydrogenation_CumProduced_Tons,Process_Cold_Fractionation_Status,Process_Cold_Fractionation_CumProduced_Tons,Process_Final_Frac_Dist_Status,Process_Final_Frac_Dist_CumProduced_Tons,Logistics_Outbound_Link_ActiveTrucks,Logistics_Inbound_Return_Link_ActiveTrucks
0.0,4379.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Running,0.0,Suspended,0.0,Suspended,0.0,Suspended,0.0,Suspended,0.0,0,0
1.0,4379.5,0.45,0.0,0.0,0.0,0.0,0.0,0.0,Running,0.45,Suspended,0.0,Suspended,0.0,Suspended,0.0,Suspended,0.0,0,0
2.0,4379.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,Running,0.9,Suspended,0.0,Suspended,0.0,Suspended,0.0,Suspended,0.0,0,0
3.0,4378.5,1.35,0.0,0.0,0.0,0.0,0.0,0.0,Running,1.35,Suspended,0.0,Suspended,0.0,Suspended,0.0,Suspended,0.0,0,0
4.0,4378.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,Running,1.8,Suspended,0.0,Suspended,0.0,Suspended,0.0,Suspended,0.0,0,0
5.0,4377.5,2.25,0.0,0.0,0.0,0.0,0.0,0.0,Running,2.25,Suspended,0.0,Suspended,0.0,Suspended,0.0,Suspended,0.0,0,0
6.0,4377.0,2.7,0.0,0.0,0.0,0.0,0.0,0.0,Running,2.7,Suspended,0.0,Suspended,0.0,Suspended,0.0,Suspended,0.0,0,0
7.0,4376.5,3.15,0.0,0.0,0.0,0.0,0.0,0.0,Running,3.15,Suspended,0.0,Suspended,0.0,Suspended,0.0,Suspended,0.0,0,0
8.0,4376.0,3.6,0.0,0.0,0.0,0.0,0.0,0.0,Running,3.6,Suspended,0.0,Suspended,0.0,Suspended,0.0,Suspended,0.0,0,0
9.0,4375.5,4.05,0.0,0.0,0.0,0.0,0.0,0.0,Running,4.05,Suspended,0.0,Suspended,0.0,Suspended,0.0,Suspended,0.0,0,0
